ID,Player,Username,Season,Age,Born,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
74,Furkan Korkmaz,korkmfu01,2018-19,21,tr,PHI,NBA,1.1,48,7,679,11.5,0.588,0.18,2.6,13.8,8.3,10.7,2,0.2,8.6,17.9,108,110,0.4,0.7,0.079,-0.8,-1.5,-2.2,0
75,Salah Mejri,mejrisa01,2018-19,32,tn,DAL,NBA,1.1,36,4,399,16.1,0.304,0.286,9.7,25.3,17.6,13.2,1.2,5.5,14.3,15.8,114,106,0.5,0.6,0.136,-1.6,3.5,1.9,0.4
76,Raul Neto,netora01,2018-19,26,br,UTA,NBA,1.1,37,1,474,13.5,0.373,0.205,1.4,12.6,7.1,28.7,1.4,0.7,16.6,19,111,108,0.5,0.6,0.116,-1,-0.6,-1.6,0
77,Nik Stauskas,stausni01,2018-19,25,ca,TOT,NBA,1.1,68,0,1015,10.9,0.556,0.189,1.9,11.7,6.8,11.1,1,0.6,12.2,17.6,108,115,0.6,0.5,0.052,-0.9,-2.2,-3.2,-0.3
78,J.J. Barea,bareajo01,2018-19,34,pr,DAL,NBA,1,38,0,752,16.3,0.332,0.203,1.9,11.6,6.8,47.5,1.4,0.1,14.7,28.1,105,113,0.4,0.6,0.064,1.1,-2.2,-1.1,0.2
79,Dante Exum,exumda01,2018-19,23,au,UTA,NBA,1,42,1,664,11.2,0.257,0.357,2.7,8.3,5.5,24.1,1,0.6,15.7,21.3,104,110,0.2,0.7,0.069,-2.6,-1.4,-4,-0.3
80,Ian Mahinmi,mahinia01,2018-19,32,fr,WAS,NBA,1,34,6,498,12,0.154,0.587,10.3,17.7,13.9,6.5,2.4,2.7,13.8,12.9,113,111,0.5,0.5,0.092,-2.3,1.3,-1,0.1
81,Abdel Nader,naderab01,2018-19,25,eg,OKC,NBA,0.9,61,1,694,8.8,0.465,0.167,2,15.7,8.6,3.8,1.3,1.5,10.1,15.1,102,108,0,0.9,0.062,-4.2,-0.9,-5.1,-0.5
82,Ryan Broekhoff,broekry01,2018-19,28,au,DAL,NBA,0.8,42,0,453,10.7,0.738,0.151,1.9,12.9,7.4,7.2,0.6,0.8,10.6,14.3,116,114,0.5,0.3,0.086,-0.7,-1.7,-2.3,0
83,Emmanuel Mudiay,mudiaem01,2018-19,22,cd,NYK,NBA,0.8,59,42,1607,14.6,0.284,0.251,2.1,10.9,6.4,24.2,1.3,1,14.6,25.6,102,116,0.1,0.7,0.023,-0.5,-1.9,-2.4,-0.2
84,Chris Boucher,bouchch01,2018-19,26,lc,TOR,NBA,0.7,28,0,163,22.2,0.487,0.197,10.9,25.8,18.5,1.9,1.8,12.2,7.8,23.6,112,97,0.2,0.4,0.194,-1.7,2.8,1.1,0.1
85,Álex Abrines,abrinal01,2018-19,25,es,OKC,NBA,0.6,31,2,588,6.3,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,103,111,0.1,0.6,0.053,-2.4,-0.9,-3.4,-0.2
86,Andrew Wiggins,wiggian01,2018-19,23,ca,MIN,NBA,0.6,73,73,2543,12.4,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,100,115,-0.6,1.3,0.012,-1.7,-1.3,-2.9,-0.6
87,Dragan Bender,bendedr01,2018-19,21,ba,PHO,NBA,0.5,46,27,826,9.5,0.513,0.274,4.5,20.3,12.3,9.4,1,2.2,14.4,13.4,102,115,0,0.4,0.027,-3.1,-0.3,-3.4,-0.3
